,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,0.000015813,1.989e+30,695700000.0,6.674e-11
1,1,Sirius,8.6,4.1769e+30,1189647000.0,4.793064532676721e-11
2,2,Canopus,310,2.9835e+31,49394700000.0,1.9859154929577466e-13
3,3,Alpha Centauri,4.4,2.1879e+30,834840000.0,5.0981944444444446e-11
4,4,Arcturus,37,2.1879e+30,18088200000.0,1.0860059171597634e-13
5,5,Vega,25,4.3758e+30,1878390000.0000002,2.0141015089163235e-11
6,6,Capella,43,5.1714e+30,8348400000.0,1.2050277777777778e-12
7,7,Rigel,860,4.574699999999999e+31,54890730000.00001,2.465812398296603e-13
8,8,Procyon,11.4,2.9835e+30,1321830000.0,2.773130193905817e-11
9,9,Betelgeuse,640,3.978e+31,660915000000.0,1.4790027700831024e-15
10,10,Achernar,144,1.33263e+31,6470010000.000001,5.170054341542374e-12
11,11,Hadar,390,2.08845e+31,5983020000.0,9.474986479177934e-12
12,12,Altair,17,3.5802e+30,1252260000.0,3.707777777777777e-11
13,13,Acrux,320,3.5801999999999996e+31,6191730000.0,1.5166266885494255e-11
14,14,Aldebaran,65,2.9835e+30,30610800000.0,5.1709710743801647e-14
15,15,Antares,600,2.3868e+31,473076000000.0,1.7320069204152247e-15
16,16,Spica,260,2.2734269999999998e+31,5196879000.0,1.3670714988467927e-11
17,17,Pollux,34,3.7790999999999997e+30,6122160000.000001,1.6374741735537186e-12
18,18,Fomalhaut,25,3.7790999999999997e+30,1252260000.0,3.9137654320987646e-11
19,19,Deneb,"2,600",3.7791e+31,141227100000.0,3.0771433424737313e-14
20,20,Mimosa,350,3.1824e+31,5843880000.0,1.513378684807256e-11
21,21,Regulus,77,7.558199999999999e+30,2156670000.0,2.6390426638917788e-11
22,22,Adhara,430,2.48625e+31,9739800000.0,4.2563775510204075e-12
23,23,Shaula,700,2.88405e+31,6122160000.000001,1.2496513429752064e-11
24,24,Castor,52,5.5692e+30,1669680000.0,3.244305555555555e-11
25,25,Gacrux,88,2.9835e+30,58438800000.0,1.4187925170068025e-14
26,26,Bellatrix,240,1.7105399999999998e+31,4035060000.0,1.706195005945303e-11
27,27,Elnath,130,9.945e+30,2921940000.0,1.89172335600907e-11
28,28,Miaplacidus,110,6.9615e+30,4730760000.0,5.0516868512110724e-12
29,29,Alnilam,"2,000",6.3648e+31,29219400000.0,1.210702947845805e-12
30,30,Gamma Velorum,"1,100",1.7900999999999998e+31,4174200000.0,1.6685e-11
31,31,Alnair,101,7.956e+30,2365380000.0,2.3093425605536334e-11
32,32,Alioth,81,5.7681e+30,2921940000.0,1.0971995464852607e-11
33,33,Alnitak,1050,6.5637e+31,13914000000.0,5.50605e-12
34,34,Dubhe,120,8.453249999999999e+30,20871000000.0,3.1516111111111107e-13
35,35,Mirfak,590,1.6906499999999999e+31,47307600000.0,1.2268382352941174e-13
36,36,Wezen,"1,600",3.3812999999999997e+31,139140000000.0,2.8364499999999996e-14
37,37,Sargas,270,1.13373e+31,18088200000.0,5.627485207100591e-13
38,38,Kaus Australis,140,6.9615e+30,4730760000.0,5.0516868512110724e-12
39,39,Avior,630,1.7900999999999998e+31,90441000000.0,3.554201183431952e-14
40,40,Alkaid,104,1.2132899999999998e+31,2365380000.0,3.5217474048442907e-11
41,41,Menkalinan,81,4.75371e+30,1927089000.0,2.0788567555943644e-11
42,42,Atria,390,1.3923e+31,64004400000.0,5.5196124763705095e-14
43,43,Alhena,109,5.5692e+30,2295810000.0,1.7159963269054175e-11
44,44,Peacock,180,1.17351e+31,3339360000.0,1.7090538194444445e-11
45,45,Alsephina[2],80,4.7735999999999997e+30,2017530000.0,1.9045897740784775e-11
46,46,Mirzam,500,2.68515e+31,6957000000.0,9.009899999999999e-12
47,47,Polaris,430,1.07406e+31,27132300000.0,2.369467455621302e-13
48,48,Alphard,180,5.967e+30,34785000000.0,8.0088e-14
49,49,Scheat,196,4.1769e+30,66091500000.0,1.5529529085872575e-14
50,50,Almaaz,653,2.9835e+31,97398000000.0,5.1076530612244896e-14
51,51,Rasalgethi,360,5.5692e+30,194796000000.0,2.383571428571428e-15
52,52,Tau Ceti,11.9,1.557387e+30,621260100.0,6.553073613485e-11
53,53,Delta Pavonis,19.92,1.9710989999999998e+30,848754000.0,4.4436535877452295e-11
54,54,Ran,10.48,1.6309799999999997e+30,514818000.0,9.993937180423665e-11
55,55,V382 Carinae,"8,900",3.978e+31,337414500000.0,5.674566904028058e-15
56,56,Eta Carinae,"7,500",1.989e+32,612911700000.0,8.598731448758696e-15
57,57,Delta Cephei,887,8.950499999999999e+30,30958650000.0,1.5166266885494254e-13
58,58,Mu Cephei,"6,000",3.8188799999999997e+31,676220400000.0,1.3562973124015646e-15
59,59,Titawin,44.25,2.52603e+30,1029636000.0,3.8696037253469685e-11
60,60,Rho Cassiopeiae,"8,154",4.3758e+31,556560000000.0,2.2941874999999996e-15
61,61,P Cygni,"5,545",5.967e+31,52873200000.0,3.4664127423822714e-13
62,62,VV Cephei,"4,900",3.61998e+31,521775000000.0,2.1594097777777774e-15
63,63,61 Cygni,11.41,1.3923e+30,462640500.0,1.0564305500593586e-10
64,64,R Doradus,178,1.5912e+30,207318600000.0,6.012341786406018e-16
65,65,Polaris Australis,281,3.16251e+30,2601918000.0,7.586476593554289e-12
66,66,R Coronae Borealis,"4,566",1.6906499999999997e+30,59134500000.0,7.851764705882352e-15
67,67,54 Piscium,36.1,1.51164e+30,653958000.0,5.7404255319148935e-11
68,68,Mira,300,2.3867999999999998e+30,257409000000.0,5.850109569028487e-16
69,69,RW Cephei,"14,000",2.76471e+31,805620600000.0,6.918052982779552e-16
70,70,Lacaille 8760,12.87,1.1933999999999999e+30,354807000.0,1.5395617070357553e-10
71,71,V838 Monocerotis,"19,896",9.945e+29,313065000000.0,1.647901234567901e-16
72,72,HD 140283,190,3.978e+30,973979999.9999999,6.810204081632653e-11
73,73,II Pegasi,130,1.5912e+30,2365380000.0,4.618685121107267e-12
74,74,VY Canis Majoris,"3,900",3.3812999999999997e+31,987894000000.0,5.626760563380281e-16
75,75,Pistol Star,"25,000",1.989e+32,222624000000.0,6.517578125e-14
76,76,S Doradus,"1,69,000",4.7736e+31,264366000000.0,1.1092520775623268e-14
77,77,UY Scuti,"5,100",1.3923e+31,525253500000.0,8.195780886803209e-16
78,78,Barnard's Star,5.98,2.7846e+29,139140000.0,2.3358999999999997e-10
79,79,Luhman 16,6.52,7.956e+28,13914000.0,6.673999999999999e-09
80,80,Proxima Centauri,4.25,2.3868e+29,104355000.0,3.559466666666666e-10
81,81,KIC 8462852,"1,470",2.84427e+30,1099206000.0,3.823033167761576e-11
82,82,R136a1,"1,63,000",5.7680999999999994e+32,22262400000.0,1.89009765625e-11
83,83,Melnick 42,"1,63,000",3.75921e+32,14679270000.000002,2.8332382471193364e-11
84,84,WR 102,"18,134",3.7791e+31,271323000.0,8.337015121630505e-09
85,85,VFTS 352,"1,64,000",1.1432771999999998e+32,10066779000.0,1.832170556149104e-11
86,86,YBP 1194,"2,772",2.00889e+30,688743000.0,6.877604326089174e-11
87,87,Gliese 1214,47.5,3.1824e+29,146097000.0,2.42140589569161e-10
88,88,NML Cygni,"5,251",9.945e+31,1321830000000.0,9.243767313019388e-16
89,89,VB 10,18.72,1.4917499999999999e+29,69570000.0,5.005499999999998e-10
90,90,WOH G64,"1,63,000",3.978e+31,1113120000000.0,5.2140625e-16
91,91,TRAPPIST-1,39.6,1.7702099999999997e+29,83484000.0,4.1249027777777773e-10
92,92,2MASS J0523-1403,40.3,1.3923e+29,59830199.99999999,6.316657652785291e-10
93,93,WISE 0855−0714,7.27,5.967e+27,59830199.99999999,2.7071389940508383e-11
94,94,Icarus,"14,40,00,00,000",6.5637e+31,139140000.0,5.5060499999999985e-08
95,95,SDSS J000013.54+255418.6 [de],46.1,9.113642553599999e+28,70777296.90900001,2.954605299724289e-10
96,96,2MASS J00040288-6410358,192,3.6074835108e+28,116532317.133,4.31426697395898e-11
97,97,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,4.0114623433514705e-10
98,98,2MASS J00274197+0503417,236,5.8858941492000005e+28,102948795.50400001,9.019144270235847e-11
99,99,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71800001,3.3921123865496126e-10
100,100,2MASS J00332386-1521309 [de],131,5.5061590427999995e+28,102233873.31300001,8.555680287293338e-11
101,101,2MASS J00345157+0523050,31,7.974437234399999e+28,67202685.954,2.867624006877891e-10
102,102,2MASS 0036+1821,28.6,7.974437234399999e+28,67202685.954,2.867624006877891e-10
103,103,2MASSW J0045214+163445,57,4.3669537235999995e+28,115817394.942,5.287208429226271e-11
104,104,WISEP J004701.06+680352.1 [fr],40,2.2784106383999997e+28,92939884.83000001,4.283740612810319e-11
105,105,2MASS J00501994-3322402 [de],34,7.594702128e+28,67202685.954,2.7310704827408485e-10
106,106,2MASS J00584253-0651239 [de],96,5.5061590427999995e+28,102233873.31300001,8.555680287293338e-11
107,107,2MASSI J0103320+193536,70,9.873112766399999e+28,70062374.71800001,3.2664785944551823e-10
108,108,SDSSp J010752.33+004156.1 [de],51,9.873112766399999e+28,70062374.71800001,3.2664785944551823e-10
109,109,2MASSI J0117474-340325 [de],163,3.797351064e+28,115817394.942,4.597572547153279e-11
110,110,2MASS J01415823-4633574 [de],130,3.797351064e+28,115102472.751,4.654862618243535e-11
111,111,SDSS J015141.69+124429.6,70,8.9237750004e+28,69347452.527,3.013582003715624e-10
112,112,SDSS J020742.48+000056.2 [de],111,8.9237750004e+28,69347452.527,3.013582003715624e-10
113,113,2MASS J02103857-3015313,101,2.848013298e+28,109383095.22299999,3.865778992935111e-11
114,114,2MASS J02340093-6442068,155,3.797351064e+28,115817394.942,4.597572547153279e-11
115,115,2MASS J02411151-0326587 [de],152,5.1264239364e+28,100804028.93100001,8.193211448222545e-11
116,116,2MASS J02431371−2453298,35,6.265629255599999e+28,70777296.90900001,2.0312911435604487e-10
117,117,LP 771-21,53,1.48096691496e+29,77211596.628,4.034369910127003e-10
118,118,Teegarden's star,12.578,1.5189404256e+29,90795118.257,2.992341594084957e-10
119,119,2MASS J02535980+3206373,184,1.2341390958e+29,135835216.29,1.0862624799566336e-10
120,120,WISE J0254+0223,24,1.2341390958e+29,135835216.29,1.0862624799566336e-10
121,121,DEN 0255-4700,16.2,1.5189404256e+29,69347452.527,5.129501282920212e-10
122,122,2MASS J03185403-3421292 [de],45,9.3035101068e+28,69347452.527,3.1418195357886294e-10
123,123,2MASS J03205965+1854233,47,1.67083446816e+29,82216051.965,4.014353521973225e-10
124,124,2MASS J03231002-4631237,192,4.3669537235999995e+28,118677083.70599999,5.0354731461973545e-11
125,125,SDSS J032553.17+042540.1,59,8.544039894e+28,67917608.145,3.008111482956832e-10
126,126,2MASS J03264225-2102057 [de],80,3.4176159576e+28,92939884.83000001,6.42561091921548e-11
127,127,2MASS J03284265+2302051 [de],98,1.02528478728e+29,70062374.71800001,3.3921123865496126e-10
128,128,2MASS J03341218-4953322,27,1.3860331383599998e+29,74351907.864,4.071784697072309e-10
129,129,LP 944-20,20.9,1.3860331383599998e+29,102233873.31300001,2.1536712447324608e-10
130,130,2MASP J0345432+254023,88,1.40501989368e+29,75066830.055,4.04931671230581e-10
131,131,Teide 1,380,1.0442715426e+29,270240588.198,2.3222432763682384e-11
132,132,2MASS J03510004-0052452,48,1.93664904264e+29,90795118.257,3.81523553245832e-10
133,133,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,6.924856171228805e-11
134,134,2MASS J04151954−0935066,18.6,5.696026596e+28,67917608.145,2.0054076553045545e-10
135,135,2MASS J04285096-2253227 [de],85,1.5189404256e+29,77926518.81899999,4.0622403476976917e-10
136,136,2MASS J04351612-1606574,34,1.8986755319999998e+29,90080196.066,3.800034452238935e-10
137,137,2MASS J04362788-4114465,142,7.4048345748e+28,140839671.627,6.062626018671103e-11
138,138,2MASS J04390101-2353083 [de],29.5,9.113642553599999e+28,69347452.527,3.077700769752127e-10
139,139,2MASS J04433764+0002040,82,4.1770861704e+28,127256149.99800001,4.189009068307024e-11
140,140,2MASS J04455387-3048204 [de],42,1.21515234048e+29,71492219.1,3.8610782056797026e-10
141,141,2MASS J04510093-3402150 [de],69,1.974623508e+27,5147439775.2,1.2103115582173245e-15
142,142,2MASS J05002100+0330501 [de],44,1.21515234048e+29,71492219.1,3.8610782056797026e-10
143,143,2MASS J05012406-0010452 [de],64,3.987218617199999e+28,98659262.358,6.652574491906385e-11
144,144,2MASS J05160945-0445499 [de],73,8.9237750004e+28,69347452.527,3.013582003715624e-10
145,145,2MASS J0523−1403,40,1.2910993617600001e+29,72207141.291,4.021562193446411e-10
146,146,SDSS J053951.99-005902.0,41.62,1.1581920745199998e+29,72207141.291,3.607577850003398e-10
147,147,LSR 0602+3910 [de],34.6,5.3162914895999995e+28,100804028.93100001,8.496663724082639e-11
148,148,2MASS J06085283-2753583,102,7.2149670216e+28,107953250.84099999,1.0054450175967384e-10
149,149,2MASS J06244595-4521548 [de],39,1.0632582979199999e+29,70777296.90900001,3.447039516345004e-10
150,150,2MASS J06411840-4322329 [de],65,1.27211260644e+29,72207141.291,3.9624215729545515e-10
151,151,DENIS-P J0652197-253450 [de],51,1.4240066489999998e+29,75066830.055,4.10403720841805e-10
152,152,2MASS J07075327-4900503,60,1.36704638304e+29,73636985.673,4.094366086709082e-10
153,153,UGPS J072227.51-054031.2,13.4,4.9365563831999995e+28,70062374.71800001,1.6332392972275911e-10
154,154,2MASSI J0727182+171001 [de],29.6,7.784569681199999e+28,67202685.954,2.7993472448093697e-10
155,155,2MASS J07290002-3954043 [de],25.8,7.0250994684e+28,67202685.954,2.526240196535285e-10
156,156,SDSS J074201.41+205520.5 [de],49,8.1643047876e+28,67202685.954,2.9359007689464126e-10
157,157,DENIS-P J0751164-253043 [de],55,1.3480596277199998e+29,73636985.673,4.037499891060344e-10
158,158,2MASS J07522390+1612157,60,3.816338058e+27,4861470898.8,2.622447988344526e-15
159,159,DENIS J081730.0-615520,16.1,8.3541723408e+28,67202685.954,3.004177531014934e-10
160,160,2MASS J08251968+2115521 [de],35,9.873112766399999e+28,70062374.71800001,3.2664785944551823e-10
161,161,SDSSp J083008.12+482847.4 [de],43,9.113642553599999e+28,70777296.90900001,2.954605299724289e-10
162,162,LHS 2021,55,1.67083446816e+29,82216051.965,4.014353521973225e-10
163,163,SDSS J083048.80+012831.1 [de],77,8.733907447199999e+28,68632530.336,3.011230425707775e-10
164,164,2MASSI J0835425-081923 [de],23.53,1.1771788298400001e+29,71492219.1,3.740419511752212e-10
165,165,2MASSI J0847287-153237 [de],43,1.21515234048e+29,71492219.1,3.8610782056797026e-10
166,166,2MASS J08533619-0329321,27.6,1.46198015964e+29,76496674.437,4.0574370828966643e-10
167,167,2MASSI J0859254-194926 [de],50,9.493377659999999e+28,70062374.71800001,3.1408448023607524e-10
168,168,2MASSI J0937347+293142,20,7.974437234399999e+28,67202685.954,2.867624006877891e-10
169,169,2MASS 0939−2448,17.4,6.0757617024e+28,67917608.145,2.1391014989915248e-10
170,170,2MASS J09490860-1545485 [de],59,9.3035101068e+28,68632530.336,3.207615018688717e-10
171,171,2MASS J10073369-4555147,46,8.3541723408e+28,67202685.954,3.004177531014934e-10
172,172,2MASSI J1010148-040649 [de],55,9.6832452132e+28,70062374.71800001,3.2036616984079674e-10
173,173,2MASS J10224821+5825453 [de],60,5.1264239364e+28,100804028.93100001,8.193211448222545e-11
174,174,2MASSW J1036530-344138 [de],53,9.3035101068e+28,69347452.527,3.1418195357886294e-10
175,175,2MASS J1047538+212423 [de],34.4,7.974437234399999e+28,67202685.954,2.867624006877891e-10
176,176,DEN 1048-3956,13.15,1.46198015964e+29,76496674.437,4.0574370828966643e-10
177,177,Luhman 16B,6.516,8.1643047876e+28,72922063.482,2.4934274504431467e-10
178,178,Luhman 16A,6.516,7.594702128e+28,72207141.291,2.365624819674359e-10
179,179,DENIS-P J1058.7−1548,49,1.21515234048e+29,71492219.1,3.8610782056797026e-10
180,180,TWA 28,180,6.8352319152e+28,170866403.649,3.802203201440508e-11
181,181,Cha 110913-773444,163,1.5189404256e+28,128685994.38000001,1.4896135052776624e-11
182,182,SDSS J111010.01+011613.1,63,1.7088079788e+28,88650351.684,3.531244294183845e-11
183,183,2MASS J11145133−2618235,18.2,6.265629255599999e+28,68632530.336,2.1602305227903604e-10
184,184,TWA 26,137,5.696026596e+28,157282882.01999998,3.7394223324635543e-11
185,185,2MASS J11544223-3400390 [de],129,7.0250994684e+28,107238328.64999999,9.920825945149235e-11
186,186,2MASSW J1155395-372735 [de],31,1.21515234048e+29,71492219.1,3.8610782056797026e-10
187,187,2MASS J12074836-3900043,217,3.2277484044000003e+28,122251694.661,3.507400220182863e-11
188,188,2MASSI J1217110-031113 [de],36,7.974437234399999e+28,67202685.954,2.867624006877891e-10
189,189,2M 1237+6526,45.6,7.784569681199999e+28,67202685.954,2.7993472448093697e-10
190,190,TWA 29,262,3.797351064e+27,1787305477.5000002,1.9305391028398505e-14
191,191,SDSSp J125453.90-012247.4 [de],38,8.9237750004e+28,70062374.71800001,2.9523941142191077e-10
192,192,Kelu-1A,61,1.19616558516e+29,70062374.71800001,3.9574644509745484e-10
193,193,Kelu-1B,61,1.1012318085599999e+29,70062374.71800001,3.6433799707384733e-10
194,194,2MASS J13204427+0409045,101,1.27211260644e+29,72207141.291,3.9624215729545515e-10
195,195,SDSSp J132629.82-003831.5 [de],65,9.6832452132e+28,69347452.527,3.2700570678616345e-10
196,196,SDSSp J134646.45-003150.4 [de],48,8.3541723408e+28,67202685.954,3.004177531014934e-10
197,197,2MASS J13595510-4034582,51,1.19616558516e+29,71492219.1,3.800748858715957e-10
198,198,ULAS J141623.94+134836.3,29.7,6.0757617024e+28,68632530.336,2.0947689917967132e-10
199,199,SDSS J141659.78+500626.4 [de],149,1.12021856388e+29,70777296.90900001,3.6317023475777723e-10
200,200,DENIS-P J142527.97-365023.4 [de],38,3.987218617199999e+28,94369729.212,7.271098979790245e-11
201,201,LHS 2924,38.5,1.44299340432e+29,75781752.246,4.0806607059849106e-10
202,202,2MASS J14392837+1929150,47,1.36704638304e+29,73636985.673,4.094366086709082e-10
203,203,LSPM J1440+1339,72,1.7467814894399998e+29,85075740.729,3.9194265381431903e-10
204,204,2MASS J14482563+1031590 [de],47,1.12021856388e+29,70777296.90900001,3.6317023475777723e-10
205,205,CFBDSIR 1458+10A,104,2.1075298803e+28,107238328.64999999,2.9762478397219754e-11
206,206,CFBDSIR 1458+10B,104,1.7088079788e+28,92939884.83000001,3.21280545960774e-11
207,207,TVLM 513-46546,35.1,1.4240066489999998e+29,75066830.055,4.10403720841805e-10
208,208,2MASS 1503+2525,20.7,8.3541723408e+28,67202685.954,3.004177531014934e-10
209,209,CFBDS J150411+102717,71,8.3541723408e+28,67202685.954,3.004177531014934e-10
210,210,2MASSW J1506544+132106 [de],46,1.3100861170799998e+29,72922063.482,4.0010812576878393e-10
211,211,2MASS 1507−1627,23.9,1.1392053192e+29,70777296.90900001,3.6932566246553616e-10
212,212,TVLM 868-110639,53,1.49995367028e+29,77211596.628,4.0860926012824775e-10
213,213,2MASSW J1515008+484742 [de],34,1.08224505324e+29,70777296.90900001,3.508593793422593e-10
214,214,2MASSI J1526140+204341 [de],67,1.02528478728e+29,70062374.71800001,3.3921123865496126e-10
215,215,DENIS-P J153941.96-052042.4 [de],51,1.19616558516e+29,71492219.1,3.800748858715957e-10
216,216,2MASS J15462718-3325111 [de],37,8.3541723408e+28,67202685.954,3.004177531014934e-10
217,217,2MASSW J1552591+294849 [de],68,5.696026596e+28,102233873.31300001,8.850703745475867e-11
218,218,2MASSW J1555157-095605 [de],44,1.3480596277199998e+29,73636985.673,4.037499891060344e-10
219,219,2MASS J16150413+1340079 [de],48,7.974437234399999e+28,67202685.954,2.867624006877891e-10
220,220,SDSSp J162414.37+002915.6 [de],36,8.1643047876e+28,67202685.954,2.9359007689464126e-10
221,221,2MASS J16262034+3925190 [de],110,1.3480596277199998e+29,73636985.673,4.037499891060344e-10
222,222,2MASSW J1632291+190441 [de],50,9.3035101068e+28,69347452.527,3.1418195357886294e-10
223,223,WISEPA J164715.59+563208.2,28,7.784569681199999e+28,67202685.954,2.7993472448093697e-10
224,224,LSPM J1658+7027 [de],60,1.3860331383599998e+29,74351907.864,4.071784697072309e-10
225,225,2MASSI J1726000+153819,114,4.5568212767999995e+28,100089106.74,7.38726697515249e-11
226,226,SDSSp J175032.96+175903.9,90,8.9237750004e+28,69347452.527,3.013582003715624e-10
227,227,2MASS J18283572-4849046,39,8.544039894e+28,67917608.145,3.008111482956832e-10
228,228,LSR J1835+3259,18.5,1.46198015964e+29,76496674.437,4.0574370828966643e-10
229,229,2MASSW J1841086+311727,138,1.27211260644e+29,72207141.291,3.9624215729545515e-10
230,230,2MASS J18432213+4040209,46,1.8227285107199998e+29,87220507.302,3.8911699197255794e-10
231,231,2MASS J20004841-7523070,105,4.7466888299999995e+28,134405371.908,4.2672976292825755e-11
232,232,SDSS J204749.61-071818.3,65,8.733907447199999e+28,68632530.336,3.011230425707775e-10
233,233,2MASSI J2057540-025230,47,1.3290728724000001e+29,72922063.482,4.059067942581867e-10
234,234,2MASSI J2104149-103736,62,1.3100861170799998e+29,72922063.482,4.0010812576878393e-10
235,235,PSO J318.5−22,80,1.2341390957999999e+28,109383095.22299999,1.6751708969385478e-11
236,236,HB 2124-4228,113,1.78475500008e+29,86505585.111,3.8733410385848386e-10
237,237,2MASS J21392676+0220226,32.1,8.733907447199999e+28,68632530.336,3.011230425707775e-10
238,238,2MASS J21481628+4003593,26.3,1.0442715426e+29,70777296.90900001,3.3854852392674146e-10
239,239,2MASSW J2206450-421721,93,4.1770861704e+28,95084651.403,7.503225921207517e-11
240,240,2MASSW J2208136+292121,154,5.1264239364e+28,100804028.93100001,8.193211448222545e-11
241,241,2MASSW J2224438-015852,38,1.1581920745199998e+29,70777296.90900001,3.754810901732951e-10
242,242,2MASS J22282889-4310262,35,7.974437234399999e+28,67202685.954,2.867624006877891e-10
243,243,2MASS J22373255+3922398,64,1.3860331383599998e+29,74351907.864,4.071784697072309e-10
244,244,2MASSW J2244316+204343,56,2.2784106383999997e+28,92224962.63900001,4.3504126168195664e-11
245,245,2MASS J23224684-3133231,56,4.5568212767999995e+28,99374184.549,7.493940930230776e-11
246,246,2MASS J23225299-6151275,148,3.2277484044000003e+28,113672628.369,4.056797193084415e-11
247,247,2MASS J23515044-2537367,67,1.67083446816e+29,82930974.156,3.9454388620760925e-10
248,248,2MASSI J2356547-155310,74,1.5189404256e+29,77926518.81899999,4.0622403476976917e-10
249,249,WISE 0410+1502,20,1.1392053191999999e+28,83645896.347,2.644284328895259e-11
250,250,WISE 0458+6434A,35.9,2.848013298e+28,300267320.22,5.130046510522563e-12
251,251,WISE 0458+6434B,35.9,1.898675532e+28,271670432.58,4.177932615217822e-12
252,252,WISE 1405+5534,25.3,5.696026596e+28,61483308.426,2.4471070969610065e-10
